22:01:09,375 - [main] DEBUG com.Technion.ie.BaseLine.CkyAlg  - [What, animal, do, buffalo, wings, come, from, ?]
22:01:25,119 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(0,1,SBARQ) = q(SBARQ->,)
22:01:25,121 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(0,1,SBARQ) = [SBARQ,,]
22:01:25,122 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(0,1,SBARQ) :is-1.0
22:01:26,906 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(0,1,SQ) = q(SQ->,)
22:01:26,908 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(0,1,SQ) = [SQ,,]
22:01:26,909 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(0,1,SQ) :is-1.0
22:01:26,931 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(0,1,WHADVP) = q(WHADVP->,)
22:01:26,932 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(0,1,WHADVP) = [WHADVP,,]
22:01:26,934 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(0,1,WHADVP) :is-1.0
22:01:26,951 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(0,1,WHADJP) = q(WHADJP->,)
22:01:26,953 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(0,1,WHADJP) = [WHADJP,,]
22:01:26,954 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(0,1,WHADJP) :is-1.0
22:01:27,042 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(0,1,WHNP) = q(WHNP->DET,NOUN)
22:01:27,044 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(0,1,WHNP) = [WHNP,[DET,What],[NOUN,animal]]
22:01:27,046 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(0,1,WHNP) :is1.0353409123558571E-4
22:01:27,060 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(0,1,WHNP+WHNP) = q(WHNP+WHNP->,)
22:01:27,061 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(0,1,WHNP+WHNP) = [WHNP+WHNP,,]
22:01:27,063 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(0,1,WHNP+WHNP) :is-1.0
22:01:27,108 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(0,1,SBAR) = q(SBAR->,)
22:01:27,110 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(0,1,SBAR) = [SBAR,,]
22:01:27,111 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(0,1,SBAR) :is-1.0
22:01:27,119 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(0,1,.) = q(.->,)
22:01:27,121 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(0,1,.) = [.,,]
22:01:27,122 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(0,1,.) :is-1.0
22:01:27,216 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(1,2,SBARQ) = q(SBARQ->,)
22:01:27,218 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(1,2,SBARQ) = [SBARQ,,]
22:01:27,220 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(1,2,SBARQ) :is-1.0
22:01:27,226 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(0,1,WHNP+PRON) = q(WHNP+PRON->,)
22:01:27,227 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(0,1,WHNP+PRON) = [WHNP+PRON,,]
22:01:27,229 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(0,1,WHNP+PRON) :is-1.0
22:01:27,244 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(0,1,WHNP+DET) = q(WHNP+DET->,)
22:01:27,245 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(0,1,WHNP+DET) = [WHNP+DET,,]
22:01:27,246 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(0,1,WHNP+DET) :is-1.0
22:01:27,254 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(0,1,CONJ) = q(CONJ->,)
22:01:27,256 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(0,1,CONJ) = [CONJ,,]
22:01:27,258 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(0,1,CONJ) :is-1.0
22:01:27,580 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(0,1,NP) = q(NP->DET,NOUN)
22:01:27,582 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(0,1,NP) = [NP,[DET,What],[NOUN,animal]]
22:01:27,584 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(0,1,NP) :is2.694651438448542E-5
22:01:27,605 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(0,1,WHPP) = q(WHPP->,)
22:01:27,606 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(0,1,WHPP) = [WHPP,,]
22:01:27,607 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(0,1,WHPP) :is-1.0
22:01:27,616 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(0,1,WHADVP+ADV) = q(WHADVP+ADV->,)
22:01:27,618 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(0,1,WHADVP+ADV) = [WHADVP+ADV,,]
22:01:27,619 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(0,1,WHADVP+ADV) :is-1.0
22:01:27,706 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(0,1,PP) = q(PP->,)
22:01:27,708 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(0,1,PP) = [PP,,]
22:01:27,709 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(0,1,PP) :is-1.0
22:01:27,755 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(0,1,SQ+VP) = q(SQ+VP->,)
22:01:27,756 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(0,1,SQ+VP) = [SQ+VP,,]
22:01:27,758 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(0,1,SQ+VP) :is-1.0
22:01:28,057 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(0,1,VP) = q(VP->,)
22:01:28,059 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(0,1,VP) = [VP,,]
22:01:28,060 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(0,1,VP) :is-1.0
22:01:28,106 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(1,2,SQ+VP) = q(SQ+VP->,)
22:01:28,107 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(1,2,SQ+VP) = [SQ+VP,,]
22:01:28,109 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(1,2,SQ+VP) :is-1.0
22:01:28,128 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(0,2,SBARQ) = q(SBARQ->,)
22:01:28,129 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(0,2,SBARQ) = [SBARQ,,]
22:01:28,131 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(0,2,SBARQ) :is-1.0
22:01:30,934 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(0,1,VERB) = q(VERB->,)
